#amostra,Pop,dpi,Inoculo,CT1_DENV,CT2_DENV,CT3_DENV,CT4_DENV,CT5_DENV,CT6_DENV,CT1_TM513,CT2_TM514,CT3_TM515,CT4_TM516,CT1_RPS17,CT2_RPS17,CT3_RPS17,CT4_RPS17
294,0,3,0,999999,999999,999999,999999,NaN,NaN,35.7290000916,35.9580001831,NaN,NaN,20.3990001678,20.3349990845,NaN,NaN
295,0,3,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.8509998322,NaN,NaN,NaN
296,0,3,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.216999054,NaN,NaN,NaN
297,0,3,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.8120002747,NaN,NaN,NaN
298,0,3,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.9759998322,NaN,NaN,NaN
299,0,3,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.1949996948,NaN,NaN,NaN
300,0,3,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.6259994507,NaN,NaN,NaN
301,0,3,0,999999,999999,999999,999999,NaN,NaN,999999,999999,NaN,NaN,19.9720001221,23.5849990845,NaN,NaN
131,0,7,0,999999,999999,NaN,NaN,NaN,NaN,39.2939987183,NaN,NaN,NaN,19.0499992371,NaN,NaN,NaN
36,0,14,0,999999,999999,999999,38.4469985962,NaN,NaN,999999,999999,NaN,NaN,18.6490001678,18.7089996338,18.6310005188,17.2430000305
37,0,14,0,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.6459999084,NaN,NaN,NaN
38,0,14,0,999999,999999,999999,999999,38.8380012512,999999,999999,NaN,NaN,NaN,19.2649993896,NaN,NaN,NaN
254,0,3,10000,999999,999999,NaN,NaN,NaN,NaN,38.1850013733,NaN,NaN,NaN,20.2619991302,NaN,NaN,NaN
255,0,3,10000,999999,999999,999999,999999,NaN,NaN,33.1879997253,NaN,NaN,NaN,20.0629997253,NaN,NaN,NaN
256,0,3,10000,999999,999999,999999,999999,NaN,NaN,999999,NaN,NaN,NaN,19.7859992981,NaN,NaN,NaN
257,0,3,10000,999999,999999,999999,999999,NaN,NaN,999999,NaN,NaN,NaN,19.5620002747,NaN,NaN,NaN
258,0,3,10000,999999,999999,NaN,NaN,NaN,NaN,24.6240005493,NaN,NaN,NaN,20.6459999084,NaN,NaN,NaN
259,0,3,10000,999999,999999,999999,999999,NaN,NaN,999999,NaN,NaN,NaN,19.857000351,NaN,NaN,NaN
260,0,3,10000,999999,999999,999999,999999,NaN,NaN,34.3310012817,NaN,NaN,NaN,20.2490005493,NaN,NaN,NaN
261,0,3,10000,999999,999999,NaN,NaN,NaN,NaN,32.0800018311,NaN,NaN,NaN,24.142999649,NaN,NaN,NaN
262,0,3,10000,999999,37.1529998779,999999,999999,NaN,NaN,999999,NaN,NaN,NaN,19.4990005493,NaN,NaN,NaN
88,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.8540000916,NaN,NaN,NaN
89,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.6060009003,NaN,NaN,NaN
90,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.4290008545,NaN,NaN,NaN
91,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.3390007019,NaN,NaN,NaN
92,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.5520000458,NaN,NaN,NaN
93,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.0620002747,NaN,NaN,NaN
94,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.186000824,NaN,NaN,NaN
95,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,44.6739997864,NaN,NaN,NaN,19.7150001526,NaN,NaN,NaN
96,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.6159992218,NaN,NaN,NaN
97,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,20.1210002899,NaN,NaN,NaN
98,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.4279994965,NaN,NaN,NaN
99,0,7,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.8840007782,NaN,NaN,NaN
1,0,14,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.7870006561,NaN,NaN,NaN
2,0,14,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.1060009003,NaN,NaN,NaN
3,0,14,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.672000885,NaN,NaN,NaN
4,0,14,10000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.0109996796,NaN,NaN,NaN
263,0,3,100000,999999,999999,NaN,NaN,NaN,NaN,39.0460014343,NaN,NaN,NaN,19.9290008545,NaN,NaN,NaN
264,0,3,100000,999999,999999,NaN,NaN,NaN,NaN,41.3629989624,NaN,NaN,NaN,20.8239994049,NaN,NaN,NaN
265,0,3,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,20.0949993134,NaN,NaN,NaN
100,0,7,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.2929992676,NaN,NaN,NaN
101,0,7,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.1270008087,NaN,NaN,NaN
102,0,7,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.4479999542,NaN,NaN,NaN
5,0,14,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.0650005341,NaN,NaN,NaN
6,0,14,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,18.841999054,NaN,NaN,NaN
7,0,14,100000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.4839992523,NaN,NaN,NaN
266,0,3,1000000,999999,38.6749992371,NaN,NaN,NaN,NaN,40.3689994812,NaN,NaN,NaN,20.3439998627,NaN,NaN,NaN
267,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.9130001068,NaN,NaN,NaN
268,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,41.6319999695,NaN,NaN,NaN,21.327999115,NaN,NaN,NaN
269,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,20.8969993591,NaN,NaN,NaN
270,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,41.2239990234,NaN,NaN,NaN,20.6690006256,NaN,NaN,NaN
271,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.5659999847,NaN,NaN,NaN
272,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,22.438999176,NaN,NaN,NaN
273,0,3,1000000,999999,999999,NaN,NaN,NaN,NaN,999999,NaN,NaN,NaN,19.8719997406,NaN,NaN,NaN
